slot,approach_x,approach_y,dock_x,dock_y,place_x,place_y,place_z,yaw,real_approach_x,real_approach_y,real_dock_x,real_dock_y,real_place_x,real_place_y,real_place_z
A1,5.0,9.3,2.6,9.3,0.95,9.3,1.325,3.1416,0.5,0.93,0.26,0.93,0.095,0.93,0.1325
A2,5.0,10.5,2.6,10.5,0.95,10.5,1.325,3.1416,0.5,1.05,0.26,1.05,0.095,1.05,0.1325
A3,5.0,11.8,2.6,11.8,0.95,11.8,1.325,3.1416,0.5,1.18,0.26,1.18,0.095,1.18,0.1325
A4,5.0,13.2,2.6,13.2,0.95,13.2,1.325,3.1416,0.5,1.32,0.26,1.32,0.095,1.32,0.1325
A5,5.0,14.5,2.6,14.5,0.95,14.5,1.325,3.1416,0.5,1.45,0.26,1.45,0.095,1.45,0.1325
A6,5.0,15.8,2.6,15.8,0.95,15.8,1.325,3.1416,0.5,1.58,0.26,1.58,0.095,1.58,0.1325
A7,5.0,17.2,2.6,17.2,0.95,17.2,1.325,3.1416,0.5,1.72,0.26,1.72,0.095,1.72,0.1325
A8,5.0,18.5,2.6,18.5,0.95,18.5,1.325,3.1416,0.5,1.85,0.26,1.85,0.095,1.85,0.1325
A9,5.0,19.7,2.6,19.7,0.95,19.7,1.325,3.1416,0.5,1.97,0.26,1.97,0.095,1.97,0.1325
A10,5.0,21.2,2.6,21.2,0.95,21.2,1.325,3.1416,0.5,2.12,0.26,2.12,0.095,2.12,0.1325
A11,5.0,22.5,2.6,22.5,0.95,22.5,1.325,3.1416,0.5,2.25,0.26,2.25,0.095,2.25,0.1325
A12,5.0,23.8,2.6,23.8,0.95,23.8,1.325,3.1416,0.5,2.38,0.26,2.38,0.095,2.38,0.1325
B1,14.5,9.3,11.95,9.3,10.2,9.3,1.325,3.1416,1.45,0.93,1.195,0.93,1.02,0.93,0.1325
B2,14.5,10.5,11.95,10.5,10.2,10.5,1.325,3.1416,1.45,1.05,1.195,1.05,1.02,1.05,0.1325
B3,14.5,11.8,11.95,11.8,10.2,11.8,1.325,3.1416,1.45,1.18,1.195,1.18,1.02,1.18,0.1325
B4,14.5,13.2,11.95,13.2,10.2,13.2,1.325,3.1416,1.45,1.32,1.195,1.32,1.02,1.32,0.1325
B5,14.5,14.5,11.95,14.5,10.2,14.5,1.325,3.1416,1.45,1.45,1.195,1.45,1.02,1.45,0.1325
B6,14.5,15.8,11.95,15.8,10.2,15.8,1.325,3.1416,1.45,1.58,1.195,1.58,1.02,1.58,0.1325
B7,14.5,17.2,11.95,17.2,10.2,17.2,1.325,3.1416,1.45,1.72,1.195,1.72,1.02,1.72,0.1325
B8,14.5,18.5,11.95,18.5,10.2,18.5,1.325,3.1416,1.45,1.85,1.195,1.85,1.02,1.85,0.1325
B9,14.5,19.7,11.95,19.7,10.2,19.7,1.325,3.1416,1.45,1.97,1.195,1.97,1.02,1.97,0.1325
B10,14.5,21.2,11.95,21.2,10.2,21.2,1.325,3.1416,1.45,2.12,1.195,2.12,1.02,2.12,0.1325
B11,14.5,22.5,11.95,22.5,10.2,22.5,1.325,3.1416,1.45,2.25,1.195,2.25,1.02,2.25,0.1325
B12,14.5,23.8,11.95,23.8,10.2,23.8,1.325,3.1416,1.45,2.38,1.195,2.38,1.02,2.38,0.1325
